Common Name,Latin Name,Found?,State Status,Population Rank*,Where Found
Golden Club,Orontium aquaticum,Y,Rare,B,--
Pod-grass,Scheuchzeria palustris,Y,Endangered,BC,"Plants found in one, small, wet opening with low vegetation."
Swamp Dog-hobble,Leucothoe racemosa,Y,Rare (proposed),B,Shrubs are found throughout this wetland.
Northeastern Bulrush,Scirpus ancistrochaetus,N,Endangered,--,--
--,Drosera intermedia,Y,Watch list,E,--
